"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 가평군 상면 율길리","일반","7*","솔안길","계획관리","기타","8m미만","194.66","413.00","11,000","null","201907","31"," ","2007"
"경기도 가평군 상면 율길리","일반","2*","청군로","계획관리","제2종근린생활","8m미만","140.4","662.00","15,000","null","201908","16"," ","1996"
"경기도 가평군 상면 임초리","일반","4**","청군로","계획관리","제1종근린생활","12m미만","34.73","61.09","3,200","null","201905","28"," ","1988"
"경기도 가평군 상면 임초리","일반","4**","수목원로","계획관리","제2종근린생활","12m미만","329.76","333.00","44,500","null","201908","5"," ","2013"
"경기도 가평군 상면 항사리","일반","5**","한사간길","계획관리","제1종근린생활","8m미만","190","329.00","6,200","null","201905","7"," ","1992"
"경기도 가평군 상면 행현리","일반","9**","수목원로","계획관리","제2종근린생활","12m미만","281","714.00","103,000","null","201902","8"," ","2014"
"경기도 가평군 상면 행현리","일반","6**","-","계획관리","숙박","8m미만","18.27","49.60","3,500","null","201903","22"," ","2019"
"경기도 가평군 상면 행현리","일반","6**","-","계획관리","숙박","8m미만","39.76","99.20","7,000","null","201903","22"," ","2019"
"경기도 가평군 상면 행현리","일반","6**","-","계획관리","숙박","8m미만","37.2","99.20","7,000","null","201903","22"," ","2019"
"경기도 가평군 상면 행현리","일반","6**","-","계획관리","숙박","8m미만","56.99","174.20","16,000","null","201903","22"," ","2019"
